[00m[37mmake results.xml
[00m[37m[36mmake[1]: Entering directory '/vagrant/Verification/FPMUL'
[00m[37mPYTHONPATH=/home/vagrant/cocotb/build/libs/x86_64:/home/vagrant/cocotb:/home/vagrant/Verification/FPMUL: LD_LIBRARY_PATH=/home/vagrant/cocotb/build/libs/x86_64::/usr/lib:/usr/lib:/usr/lib:/usr/lib MODULE=FPMUL_TB \
        TESTCASE= TOPLEVEL=FPMUL TOPLEVEL_LANG=verilog \
        /usr/bin/vvp -M /home/vagrant/cocotb/build/libs/x86_64 -m gpivpi sim_build/sim.vvp   
     -.--ns INFO     cocotb.gpi                                  gpi_embed.c:111  in embed_init_python               Did not detect virtual environment. Using system-wide Python interpreter.
     -.--ns INFO     cocotb.gpi                                GpiCommon.cpp:91   in gpi_print_registered_impl       VPI registered
    0.00ns INFO     cocotb.gpi                                  gpi_embed.c:278  in embed_sim_init                  Running on Icarus Verilog version 10.1 (stable)
    0.00ns INFO     cocotb.gpi                                  gpi_embed.c:279  in embed_sim_init                  Python interpreter initialised and cocotb loaded!
    0.00ns INFO     cocotb                                      __init__.py:118  in _initialise_testbench           Running tests with Cocotb v1.0.1 from /home/vagrant/cocotb
    0.00ns INFO     cocotb                                      __init__.py:134  in _initialise_testbench           Seeding Python random module with 1540936429
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_001
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_002
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_003
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_004
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_005
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_006
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_007
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_008
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_009
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_010
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_011
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_012
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_013
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_014
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_015
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_016
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_017
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_018
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_019
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_020
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_021
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_022
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_023
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_024
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_025
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_026
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_027
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_028
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_029
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_030
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_031
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_032
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_033
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_034
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_035
    0.00ns INFO     cocotb.regression                         regression.py:187  in _initialise                     Found test FPMUL_TB.run_test_036
    0.00ns INFO     cocotb.regression                         regression.py:318  in execute                         Running test 1/36: run_test_001
    0.00ns INFO     ..coroutine._my_test.0x7f4b00068d50       decorators.py:211  in send                            Starting test: "run_test_001"
                                                                                                                    Description: Automatically generated test
                                                                                                                    
                                                                                                                    	A: randomFloat (Random Float)
                                                                                                                    	B: randomFloat (Random Float)
                                                                                                                    
    0.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:24   in _monitor_recv                   InputMonitor _monitor_recv started
    0.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:29   in _monitor_recv                   InputMonitor _monitor_recv iter 0
    0.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:17   in _monitor_recv                   OutputMonitor _monitor_recv started
    0.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:22   in _monitor_recv                   OutputMonitor _monitor_recv iter 0
    0.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:23   in _monitor_recv                   OutputMonitor initSig 0
    0.00ns INFO     cocotb.scoreboard.FPMUL                   scoreboard.py:177  in add_interface                   Created with reorder_depth 0
    0.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:81   in reset                           Resetting DUT
    0.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:29   in _monitor_recv                   InputMonitor _monitor_recv iter 1
    0.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:22   in _monitor_recv                   OutputMonitor _monitor_recv iter 1
    0.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:23   in _monitor_recv                   OutputMonitor initSig 0
    5.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:29   in _monitor_recv                   InputMonitor _monitor_recv iter 2
    5.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:22   in _monitor_recv                   OutputMonitor _monitor_recv iter 2
    5.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:23   in _monitor_recv                   OutputMonitor initSig 0
   10.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:29   in _monitor_recv                   InputMonitor _monitor_recv iter 3
   10.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:22   in _monitor_recv                   OutputMonitor _monitor_recv iter 3
   10.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:23   in _monitor_recv                   OutputMonitor initSig 0
   10.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:87   in reset                           Out of reset
   10.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:147  in run_test                        Before _driver_send: A is zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz, B is zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz, P is 10000000000000000000000000000000
   10.00ns INFO     cocotb.FPMUL.                           FPMUL_Driver.py:48   in _driver_send                    _driver_send will send: 10000111001110010111000010100110
   15.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:29   in _monitor_recv                   InputMonitor _monitor_recv iter 4
   15.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:22   in _monitor_recv                   OutputMonitor _monitor_recv iter 4
   15.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:23   in _monitor_recv                   OutputMonitor initSig 1
   15.00ns INFO     cocotb.FPMUL.                           FPMUL_Driver.py:51   in _driver_send                    _driver_send will send: 11111100011010001101010100100011
   20.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:29   in _monitor_recv                   InputMonitor _monitor_recv iter 5
   20.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:22   in _monitor_recv                   OutputMonitor _monitor_recv iter 5
   20.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:23   in _monitor_recv                   OutputMonitor initSig 1
   20.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:155  in run_test                        After _driver_send: A is 10000111001110010111000010100110, B is 11111100011010001101010100100011, P is 10000000000000000000000000000000
   25.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:29   in _monitor_recv                   InputMonitor _monitor_recv iter 6
   25.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:33   in _monitor_recv                   InputMonitor: dut.Start asserted, forming lhs and rhs
   25.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:57   in model                           model is called
   25.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:67   in model                           model is appending product: 01000100001010001010100001111011
   25.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:22   in _monitor_recv                   OutputMonitor _monitor_recv iter 6
   25.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:23   in _monitor_recv                   OutputMonitor initSig 1
   25.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:165  in run_test                        Iter 0, Done 0, cnt 2
   25.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:166  in run_test                        run_test initSig 1
   30.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:29   in _monitor_recv                   InputMonitor _monitor_recv iter 7
   30.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:22   in _monitor_recv                   OutputMonitor _monitor_recv iter 7
   30.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:23   in _monitor_recv                   OutputMonitor initSig 1
   30.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:165  in run_test                        Iter 1, Done 0, cnt 3
   30.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:166  in run_test                        run_test initSig 1
   35.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:29   in _monitor_recv                   InputMonitor _monitor_recv iter 8
   35.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:22   in _monitor_recv                   OutputMonitor _monitor_recv iter 8
   35.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:23   in _monitor_recv                   OutputMonitor initSig 1
   35.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:165  in run_test                        Iter 2, Done 0, cnt 4
   35.00ns INFO     cocotb.FPMUL                                FPMUL_TB.py:166  in run_test                        run_test initSig 1
   40.00ns INFO     cocotb.FPMUL                       ..UL_InputMonitor.py:29   in _monitor_recv                   InputMonitor _monitor_recv iter 9
   40.00ns INFO     cocotb.FPMUL                       ..L_OutputMonitor.py:22   in _monitor_recv                   OutputMonitor _monitor_recv iter 9
